In	Amp	Phase
1.358980801160176721e-01	1.900755058418359766e+01	2.342375223932646744e+00
1.360859788078803145e-01	1.899916573171104162e+01	2.341923399905307512e+00
1.362741372967789244e-01	1.899078473536758693e+01	2.341471178324366686e+00
1.364625559419203049e-01	1.898240760022504148e+01	2.341018558848337427e+00
1.366512351030080008e-01	1.897403433136176432e+01	2.340565541135776417e+00
1.368401751402429367e-01	1.896566493386267993e+01	2.340112124845286079e+00
1.370293764143239168e-01	1.895729941281926045e+01	2.339658309635516797e+00
1.372188392864485684e-01	1.894893777332956120e+01	2.339204095165166919e+00
1.374085641183138973e-01	1.894058002049818157e+01	2.338749481092986304e+00
1.375985512721170922e-01	1.893222615943631126e+01	2.338294467077777661e+00
1.377888011105559973e-01	1.892387619526171250e+01	2.337839052778397875e+00
1.379793139968299998e-01	1.891553013309872711e+01	2.337383237853760232e+00
1.381700902946406406e-01	1.890718797807827301e+01	2.336927021962836193e+00
1.383611303681924476e-01	1.889884973533786550e+01	2.336470404764657172e+00
1.385524345821933234e-01	1.889051541002161372e+01	2.336013385918316754e+00
1.387440033018555452e-01	1.888218500728021354e+01	2.335555965082972030e+00
1.389358368928963472e-01	1.887385853227096533e+01	2.335098141917845371e+00
1.391279357215386148e-01	1.886553599015777039e+01	2.334639916082227096e+00
1.393203001545115505e-01	1.885721738611113452e+01	2.334181287235475910e+00
1.395129305590514790e-01	1.884890272530818578e+01	2.333722255037023352e+00
1.397058273029023745e-01	1.884059201293265673e+01	2.333262819146372014e+00
1.398989907543168598e-01	1.883228525417489152e+01	2.332802979223101314e+00
1.400924212820564563e-01	1.882398245423187433e+01	2.332342734926866168e+00
1.402861192553928049e-01	1.881568361830719383e+01	2.331882085917401426e+00
1.404800850441079441e-01	1.880738875161108581e+01	2.331421031854521431e+00
1.406743190184952808e-01	1.879909785936040478e+01	2.330959572398124013e+00
1.408688215493601736e-01	1.879081094677865238e+01	2.330497707208191827e+00
1.410635930080207101e-01	1.878252801909595604e+01	2.330035435944792788e+00
1.412586337663082614e-01	1.877424908154910099e+01	2.329572758268085408e+00
1.414539441965684541e-01	1.876597413938151249e+01	2.329109673838316574e+00
1.416495246716616974e-01	1.875770319784325935e+01	2.328646182315826429e+00
1.418453755649639048e-01	1.874943626219107173e+01	2.328182283361049709e+00
1.420414972503671602e-01	1.874117333768833760e+01	2.327717976634517516e+00
1.422378901022806896e-01	1.873291442960509201e+01	2.327253261796858652e+00
1.424345544956312770e-01	1.872465954321805626e+01	2.326788138508803172e+00
1.426314908058640973e-01	1.871640868381058809e+01	2.326322606431182383e+00
1.428286994089434103e-01	1.870816185667274212e+01	2.325856665224933728e+00
1.430261806813533654e-01	1.869991906710123786e+01	2.325390314551099902e+00
1.432239350000986955e-01	1.869168032039946326e+01	2.324923554070832399e+00
1.434219627427053001e-01	1.868344562187748181e+01	2.324456383445391516e+00
1.436202642872210222e-01	1.867521497685207166e+01	2.323988802336153903e+00
1.438188400122165089e-01	1.866698839064665449e+01	2.323520810404606785e+00
